game_date,home_team_id,away_team_id,open_ml_home,open_ml_away,open_spread_home,source,close_ml_home,close_ml_away,close_spread_home,source_detail,ingested_at
2024-11-01,1610612757,1610612760,,,11.5,local_nba_odds_open,,,,local_nba_odds_open,2026-04-22T12:51:34.614606+00:00
2024-11-01,1610612751,1610612741,,,-1.5,local_nba_odds_open,,,,local_nba_odds_open,2026-04-22T12:51:34.614606+00:00
2024-11-02,1610612755,1610612763,,,1.5,local_nba_odds_open,,,,local_nba_odds_open,2026-04-22T12:51:34.614606+00:00
2024-11-02,1610612743,1610612762,,,-10.5,local_nba_odds_open,,,,local_nba_odds_open,2026-04-22T12:51:34.614606+00:00
2024-11-02,1610612746,1610612760,,,5.5,local_nba_odds_open,,,,local_nba_odds_open,2026-04-22T12:51:34.614606+00:00
2024-11-02,1610612749,1610612739,,,-1.5,local_nba_odds_open,,,,local_nba_odds_open,2026-04-22T12:51:34.614606+00:00
2024-11-02,1610612745,1610612744,,,-4.5,local_nba_odds_open,,,,local_nba_odds_open,2026-04-22T12:51:34.614606+00:00
2024-11-02,1610612756,1610612757,,,-12.5,local_nba_odds_open,,,,local_nba_odds_open,2026-04-22T12:51:34.614606+00:00
2024-11-02,1610612759,1610612750,,,3.5,local_nba_odds_open,,,,local_nba_odds_open,2026-04-22T12:51:34.614606+00:00
2024-11-02,1610612764,1610612748,,,9.5,local_nba_odds_open,,,,local_nba_odds_open,2026-04-22T12:51:34.614606+00:00
2024-11-02,1610612766,1610612738,,,10.5,local_nba_odds_open,,,,local_nba_odds_open,2026-04-22T12:51:34.614606+00:00
2024-11-02,1610612761,1610612758,,,9.5,local_nba_odds_open,,,,local_nba_odds_open,2026-04-22T12:51:34.614606+00:00
2024-11-03,1610612740,1610612737,,,1.5,local_nba_odds_open,,,,local_nba_odds_open,2026-04-22T12:51:34.614606+00:00
2024-11-03,1610612742,1610612753,,,-6.5,local_nba_odds_open,,,,local_nba_odds_open,2026-04-22T12:51:34.614606+00:00
2024-11-03,1610612751,1610612765,,,-3.5,local_nba_odds_open,,,,local_nba_odds_open,2026-04-22T12:51:34.614606+00:00
2024-11-04,1610612743,1610612761,,,-11.5,local_nba_odds_open,,,,local_nba_odds_open,2026-04-22T12:51:34.614606+00:00
2024-11-04,1610612737,1610612738,,,10.5,local_nba_odds_open,,,,local_nba_odds_open,2026-04-22T12:51:34.614606+00:00
2024-11-04,1610612739,1610612749,,,-8.5,local_nba_odds_open,,,,local_nba_odds_open,2026-04-22T12:51:34.614606+00:00
2024-11-04,1610612740,1610612757,,,-1.5,local_nba_odds_open,,,,local_nba_odds_open,2026-04-22T12:51:34.614606+00:00
2024-11-04,1610612741,1610612762,,,-7.5,local_nba_odds_open,,,,local_nba_odds_open,2026-04-22T12:51:34.614606+00:00
2024-11-04,1610612742,1610612754,,,-4.5,local_nba_odds_open,,,,local_nba_odds_open,2026-04-22T12:51:34.614606+00:00
2024-11-04,1610612746,1610612759,,,-4.5,local_nba_odds_open,,,,local_nba_odds_open,2026-04-22T12:51:34.614606+00:00
2024-11-04,1610612748,1610612758,,,-0.5,local_nba_odds_open,,,,local_nba_odds_open,2026-04-22T12:51:34.614606+00:00
2024-11-04,1610612745,1610612752,,,2.5,local_nba_odds_open,,,,local_nba_odds_open,2026-04-22T12:51:34.614606+00:00
2024-11-04,1610612751,1610612763,,,4.5,local_nba_odds_open,,,,local_nba_odds_open,2026-04-22T12:51:34.614606+00:00
2024-11-04,1610612756,1610612755,,,-7.5,local_nba_odds_open,,,,local_nba_odds_open,2026-04-22T12:51:34.614606+00:00
2024-11-04,1610612760,1610612753,,,-12.5,local_nba_odds_open,,,,local_nba_odds_open,2026-04-22T12:51:34.614606+00:00
2024-11-04,1610612764,1610612744,,,10.5,local_nba_odds_open,,,,local_nba_odds_open,2026-04-22T12:51:34.614606+00:00
2024-11-04,1610612765,1610612747,,,6.5,local_nba_odds_open,,,,local_nba_odds_open,2026-04-22T12:51:34.614606+00:00
2024-11-04,1610612750,1610612766,,,-11.5,local_nba_odds_open,,,,local_nba_odds_open,2026-04-22T12:51:34.614606+00:00
2024-11-06,1610612737,1610612752,,,7.5,local_nba_odds_open,,,,local_nba_odds_open,2026-04-22T12:51:34.614606+00:00
2024-11-06,1610612738,1610612744,,,-6.5,local_nba_odds_open,,,,local_nba_odds_open,2026-04-22T12:51:34.614606+00:00
2024-11-06,1610612766,1610612765,,,1.5,local_nba_odds_open,,,,local_nba_odds_open,2026-04-22T12:51:34.614606+00:00
2024-11-06,1610612742,1610612741,,,-10.5,local_nba_odds_open,,,,local_nba_odds_open,2026-04-22T12:51:34.614606+00:00
2024-11-06,1610612743,1610612760,,,7.5,local_nba_odds_open,,,,local_nba_odds_open,2026-04-22T12:51:34.614606+00:00
2024-11-06,1610612756,1610612748,,,-5.5,local_nba_odds_open,,,,local_nba_odds_open,2026-04-22T12:51:34.614606+00:00
2024-11-06,1610612746,1610612755,,,-2.5,local_nba_odds_open,,,,local_nba_odds_open,2026-04-22T12:51:34.614606+00:00
2024-11-06,1610612754,1610612753,,,-5.5,local_nba_odds_open,,,,local_nba_odds_open,2026-04-22T12:51:34.614606+00:00
2024-11-06,1610612745,1610612759,,,-6.5,local_nba_odds_open,,,,local_nba_odds_open,2026-04-22T12:51:34.614606+00:00
2024-11-06,1610612758,1610612761,,,-11.5,local_nba_odds_open,,,,local_nba_odds_open,2026-04-22T12:51:34.614606+00:00
2024-11-06,1610612763,1610612747,,,-4.5,local_nba_odds_open,,,,local_nba_odds_open,2026-04-22T12:51:34.614606+00:00
2024-11-06,1610612740,1610612739,,,6.5,local_nba_odds_open,,,,local_nba_odds_open,2026-04-22T12:51:34.614606+00:00
2024-11-07,1610612749,1610612762,,,-9.5,local_nba_odds_open,,,,local_nba_odds_open,2026-04-22T12:51:34.614606+00:00
2024-11-07,1610612759,1610612757,,,-4.5,local_nba_odds_open,,,,local_nba_odds_open,2026-04-22T12:51:34.614606+00:00
